station,province,lat,lon,coord_source,1911_n,1911_cap,1912_n,1912_cap,1913_n,1913_cap,1914_n,1914_cap,1915_n,1915_cap,1916_n,1916_cap,1917_n,1917_cap,1918_n,1918_cap,1919_n,1919_cap,1920_n,1920_cap,1921_n,1921_cap,1923_n,1923_cap,1924_n,1924_cap,1925_n,1925_cap,1926_n,1926_cap,1927_n,1927_cap,1928_n,1928_cap,1929_n,1929_cap,1930_n,1930_cap,1939_n,1939_cap,1940_n,1940_cap,1941_n,1941_cap,1943_n,1943_cap
Midnapore,ALBERTA,50.91806,-114.06389,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,1,30000,2,140000,1,70000
Mikado,SASKATCHEWAN,51.60872,-102.2706,cgn_direct,2,55000,2,55000,2,55000,2,55000,2,55000,1,,,,7,265000,7,275000,1,,6,240000,6,285000,6,285000,1,,6,285000,6,269000,6,274000,6,246000,5,211000,5,190000,5,196000,10,406000,1,
Milden,SASKATCHEWAN,51.48649,-107.52124,cgn_direct,2,55000,4,113000,4,113000,4,113000,4,113000,4,118000,4,123000,4,118000,4,118000,4,118000,4,118000,4,118000,4,118000,4,118000,4,115000,4,115000,1,,5,158000,5,153000,5,144000,5,146000,10,298000,5,149000
Mildred,SASKATCHEWAN,53.35006,-107.33393,cgn_direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,1,35000,2,70000,2,70000,4,140000,1,
Mile 102-2,SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,70000,,
Mile 102-2 (Tisdale Subdivision),SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,,,,,,
Mile 102-2 Tisdale Sub. Div,SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,,,,,,,,,,,,
Mile 102-2..... (Tisdale Subdivision),SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000
Mile 102-2..... (Tisdale sub- division),SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35000,,,,
Mile 102.2 Tisdale Sub Div,SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,,,,,,,,,,
Mile 31,ALBERTA,,,,,,,,,,,,,,,,,,,,1,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mile 46 Aberdeen-Melfort Branch,SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,62000,,,,,,,,,,
Mile 68 Wakopa Extn,MANITOBA,,,,,,,,,,1,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mileage 10 N. E. of Whittome,SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,,,,,,,,,,
Mileage 10 N.E. of Whittome,SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30000,,,,,,,,,,,,
Mileage 10-3..... (Alliance Subdivision),ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55000,,
Mileage 10..... (Alliance Branch),ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25000,,,,,,,,,,,,
Mileage 10.3,ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55000,1,55000,1,55000
Mileage 4-4..... (Alliance Subdivision),ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,44000,,
Mileage 4.4,ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,44000,1,44000,1,44000
Mileage 4.4..... (Alliance Subdivision),ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,44000,,,,,,
Mileage Ten,ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25000,,,,,,,,
Mileage Ten..... (Via Ohaton),ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,45000,,,,,,
Milestone,SASKATCHEWAN,49.99326,-104.5177,cgn_direct,6,194000,6,194000,5,164000,6,182000,6,182000,6,182000,6,184000,6,182000,6,187000,6,194000,6,194000,6,194000,6,194000,7,221000,7,231000,7,219000,1,,8,255000,8,255000,6,204000,6,207000,12,418000,6,209000
Milk River,ALBERTA,49.15,-112.08667,cgn_direct,1,25000,2,34000,3,73000,1,,4,103000,3,95000,3,100000,3,110000,3,110000,3,105000,3,105000,3,105000,3,105000,3,105000,3,105000,3,105000,5,200000,6,260000,6,260000,6,283000,6,345000,12,626000,6,313000
Mill,MANITOBA,,,,2,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millerdale,SASKATCHEWAN,51.79424,-108.97863,cgn_direct,,,,,2,60000,1,,2,60000,2,60000,1,,2,60000,2,60000,1,,1,,1,,1,,2,60000,1,30000,1,30000,1,24000,1,25000,1,25000,1,26000,1,26000,2,52000,1,26000
Millet,ALBERTA,53.09611,-113.47278,cgn_direct,1,35000,1,30000,1,30000,1,35000,1,35000,1,35000,1,35000,1,35000,1,35000,2,65000,2,65000,2,65000,2,65000,2,65000,3,95000,3,95000,4,135000,4,136500,4,135000,4,141000,4,173000,8,282000,4,141000
Millicent,ALBERTA,50.71028,-111.77889,cgn_direct,,,,,,,,,1,5000,4,100000,3,85000,3,85000,3,85000,3,93000,3,93000,3,93000,3,93000,3,93000,2,60000,1,30000,1,30000,1,30000,1,25000,1,25000,1,25000,2,50000,1,25000
